customer_id,company_name,industry,region,country,city,signup_date,account_owner,status,email,phone,employee_count,annual_revenue_usd,notes,account_tier
CUST-001,"Watts, Robinson and Nguyen",Financial Services,EMEA,United Kingdom,West Heatherberg,2023-03-09,Derek Zuniga,active,swood@chavez.org,4862959866,250,48759728,Star heart believe mention.,Silver
CUST-002,Anderson-Hughes,Transportation,NA,United States,Meyerville,2022-09-04,Derek Zuniga,active,noahroberts@wilson.com,(784)669-6551,100,17541166,,Gold
CUST-003,"Moore, Dixon and Chapman",Financial Services,NA,Canada,Robertview,2022-06-07,Cristian Santos,churned,turnerandrew@smith-campbell.com,209-212-4236x1962,100,13784258,Fly ground rise floor.,Gold
CUST-004,Davis-Potter,Education,EMEA,United Kingdom,South Billshire,2022-09-03,Noah Rhodes,active,cynthiahernandez@valentine.com,+1-900-928-4851x6752,250,45658356,,Bronze
CUST-005,Stevens Ltd,Legal,EMEA,Netherlands,Bryanside,2022-08-20,Lisa Jackson,active,qduncan@hughes.com,504-578-0596,100,22649017,Method kind drug night respond government game.,Silver
CUST-006,"Gill, Allen and Pittman",Healthcare,NA,Mexico,Davidside,2023-01-20,Lisa Hensley,churned,laura83@gill.com,433.988.8273x0161,500,113651111,Week argue nature view.,Bronze
CUST-007,"Morgan, Skinner and Nelson",Manufacturing,EMEA,France,West Robertville,2022-11-14,Angie Henderson,active,karen80@williams.com,+1-888-839-4956x0321,100,19930945,,Silver
CUST-008,Barton-Adams,Transportation,NA,Mexico,Foleystad,2023-02-06,Derek Zuniga,active,heatherwang@miller-stewart.net,725-815-5331,50,11865825,Trip while really station.,Silver
CUST-009,"Day, Jordan and Perez",Education,NA,United States,Port Wayne,2023-01-21,Lisa Jackson,suspended,johnchaney@scott.info,001-688-259-5646x0108,50,4562603,,Silver
CUST-010,Lowe-Harding,Legal,NA,Mexico,Brianhaven,2023-10-25,Gina Moore,active,xwyatt@johnson-taylor.biz,(557)300-8670,50,6251481,,Silver
CUST-011,Jackson and Sons,Media & Entertainment,EMEA,Italy,South Wayne,2023-08-13,Cristian Santos,trial,hgiles@gross-luna.com,(952)540-2053,50,12477269,,Bronze
CUST-012,Martinez LLC,Financial Services,NA,United States,South Angela,2022-09-21,Angie Henderson,active,fwu@robinson-rivera.biz,730.678.7918,250,37941798,,Silver
CUST-013,Nelson-Thomas,Transportation,EMEA,Netherlands,East Edwardport,2023-11-24,Daniel Wagner,active,burgesskevin@moon-nielsen.info,+1-666-286-5680,500,40975886,,Gold
CUST-014,Palmer Inc,Media & Entertainment,EMEA,France,South Deniseport,2023-05-15,Gabrielle Davis,active,gzimmerman@montgomery-rogers.com,001-830-293-0982,10,805517,,Silver
CUST-015,Cruz and Sons,Retail,EMEA,Spain,West Brittanytown,2022-09-17,Abigail Shaffer,trial,williedavila@riggs-kim.biz,9286956619,250,41575672,Cause central herself year spend various memory computer.,Bronze
CUST-016,Diaz-Holmes,Energy,EMEA,Spain,East Joanna,2023-11-26,Jamie Arnold,trial,blakecole@harding-trujillo.com,896.749.1073x717,50,4165552,,Silver
CUST-017,Garcia Ltd,Energy,APAC,Singapore,North Sarah,2023-02-01,Brian Ramirez,active,tjohnson@johnson.info,(778)642-9528x1150,1000,94561086,,Gold
CUST-018,Williams Ltd,Real Estate,APAC,South Korea,Justinberg,2022-10-07,Holly Wood,active,jerry77@hester-williams.com,+1-222-360-3062x24928,1000,108071583,,Bronze
CUST-019,Hernandez-Finley,Energy,NA,United States,Whiteborough,2023-12-05,Jamie Arnold,active,kelly07@howard-sullivan.com,(450)481-2506,10,1329917,,Bronze
CUST-020,"Powell, Bullock and Rojas",Education,EMEA,United Kingdom,North Tara,2023-02-09,Lisa Jackson,active,patriciacollins@kelly.com,+1-721-907-7805x9231,10,1741666,Affect huge vote today gun too administration.,Silver
CUST-021,Lawson-Young,Technology,NA,Mexico,Wallaceview,2022-07-31,Gina Moore,active,ykeller@miller.com,001-590-832-5349x0092,500,46022874,Police maintain deal today along game.,Silver
CUST-022,Walton-Howe,Manufacturing,NA,Mexico,Martinezfurt,2022-10-14,Brian Ramirez,churned,harrisjoseph@pratt.com,467-330-1601,100,12130953,,Bronze
CUST-023,"Williams, Chapman and Robinson",Media & Entertainment,NA,United States,Robertshaven,2023-08-16,Daniel Wagner,active,scottrice@mcintosh.com,387-443-7904,50,10197144,Say career rate by real happen present.,Platinum
CUST-024,"Hall, Weeks and Reid",Manufacturing,EMEA,Sweden,West Ryanbury,2022-09-20,Connie Lawrence,active,ycarter@davis.com,882.415.2678x081,100,10383099,Agency act deal life past protect.,Silver
CUST-025,"Webb, Torres and Carter",Legal,NA,United States,North Katiemouth,2023-08-28,Derek Zuniga,suspended,madams@freeman-ramirez.com,+1-802-240-2721x1743,10,1908646,,Gold
CUST-026,Santos-Solomon,Real Estate,APAC,Japan,Everetthaven,2022-11-18,Noah Rhodes,active,lawsonjohn@baker-dalton.com,385.428.1087x150,10,1481768,Single above store key heart.,Gold
CUST-027,Haynes PLC,Real Estate,NA,Canada,North Laurieland,2023-02-27,Derek Zuniga,trial,mark86@poole-bradley.net,588-572-6616x42324,50,9921027,,Gold
CUST-028,Garcia PLC,Technology,NA,United States,West Jacquelinemouth,2023-03-31,Monica Herrera,active,marcorodriguez@leonard.biz,361.285.4671,100,17217318,Generation world agent late shoulder building sound.,Silver
